,symbol,Date,Open,High,Low,close,Adj close,Volume
0,ACN,2/3/2021,248.190002,250.110001,246.589996,248.369995,245.539291,2470400
1,ACN,2/4/2021,249.559998,253.029999,246.910004,253.009995,250.126404,1702200
2,ACN,2/5/2021,254.089996,255.75,252.160004,253.539993,250.650345,1497700
3,ACN,2/8/2021,253.919998,257.350006,253.759995,257.309998,254.377396,1508700
4,ACN,2/9/2021,256.309998,258.809998,255.610001,257.679993,254.743179,1542600
5,ACN,2/10/2021,258.019989,259.190002,255.860001,256.940002,254.011612,1428300
6,ACN,2/11/2021,258,259.98999,257.040009,258.970001,256.018463,1285300
7,ACN,2/12/2021,257.450012,258.589996,255.410004,257.470001,254.535583,1219200
8,ACN,2/16/2021,257.649994,259.48999,256.269989,257.049988,254.120331,1606700
9,ACN,2/17/2021,256.649994,261.609985,255.770004,258.779999,255.830643,1881000
10,ACN,2/18/2021,255.589996,258.100006,254.699997,257.630005,254.693756,1664300
11,ACN,2/19/2021,258.459991,258.5,254.160004,254.289993,251.391815,2038400
12,ACN,2/22/2021,252.690002,254.169998,250.089996,252.630005,249.750748,1476000
13,ACN,2/23/2021,251.559998,257.929993,250.589996,256.190002,253.270172,2191300
14,ACN,2/24/2021,253.210007,260.470001,252.820007,259.269989,256.315063,2476300
15,ACN,2/25/2021,258.980011,259.109985,252.580002,253.779999,250.887634,2157700
16,ACN,2/26/2021,255.240005,255.850006,249.809998,250.899994,248.040451,2712800
17,ACN,3/1/2021,254,259.799988,254,258.160004,255.217712,1954700
18,ACN,3/2/2021,258.160004,261.119995,257.109985,259.230011,256.275513,2099800
19,ACN,3/3/2021,259.899994,260,254.050003,254.179993,251.283051,2114400
20,ACN,3/4/2021,252.830002,254.639999,245.169998,247,244.184906,2590400
21,ACN,3/5/2021,249.240005,250.679993,244.440002,249.509995,246.666275,3236500
22,ACN,3/8/2021,254.600006,255.789993,249.229996,249.389999,246.547668,2856100
23,ACN,3/9/2021,252.520004,257.459991,251.639999,254.369995,251.470901,2729200
24,ACN,3/10/2021,256.290009,258.23999,254.610001,257.140015,254.209351,2046000
25,ACN,3/11/2021,260,268.109985,260,266.369995,263.334137,2972000
26,ACN,3/12/2021,264.980011,266.25,262.700012,264.950012,261.930328,1828600
27,ACN,3/15/2021,263.690002,266.589996,263.480011,266.26001,263.225433,2295700
28,ACN,3/16/2021,267.220001,267.26001,263.100006,263.519989,260.516602,2185600
29,ACN,3/17/2021,263.529999,266.279999,261.630005,264.269989,261.258026,2626500
30,ACN,3/18/2021,267.220001,271.51001,264.079987,266.890015,263.848267,4089900
31,ACN,3/19/2021,266.350006,269.109985,261.130005,263.779999,260.773651,4460500
32,ACN,3/22/2021,263.149994,265.929993,262.350006,265.200012,262.17746,2295700
33,ACN,3/23/2021,265.5,267.130005,264.369995,266.029999,262.998016,2160300
34,ACN,3/24/2021,265.920013,269.790009,265.700012,267.549988,264.500702,2160600
35,ACN,3/25/2021,266.179993,269.5,265.809998,268.609985,265.548615,1714700
36,ACN,3/26/2021,268.48999,281.299988,268.48999,280.769989,277.570007,3171900
37,ACN,3/29/2021,278.220001,281.290009,277.73999,279.540009,276.354034,2398700
38,ACN,3/30/2021,279.790009,280.079987,276.519989,278.549988,275.375336,1763100
39,ACN,3/31/2021,278.5,279.269989,276.100006,276.25,273.101532,2375800
40,ACN,4/1/2021,278.619995,278.779999,276.070007,278.339996,275.167694,2301900
41,ACN,4/5/2021,279.01001,282.690002,278.799988,281.130005,277.925934,2631300
42,ACN,4/6/2021,281.429993,283.049988,279.649994,281.630005,278.420197,1786600
43,ACN,4/7/2021,281.970001,283.630005,281.100006,282.570007,279.349487,2736300
44,ACN,4/8/2021,284.119995,285.350006,283.230011,284.420013,281.178406,1600600
45,ACN,4/9/2021,285,287.820007,283.600006,287.709991,284.430908,1787800
46,ACN,4/12/2021,285.970001,288.100006,285.140015,287.540009,284.262909,1437500
47,ACN,4/13/2021,286.600006,287.059998,284.079987,285.220001,281.969299,2228000
48,ACN,4/14/2021,284.380005,286.799988,283.079987,284.440002,282.068451,1903500
49,ACN,4/15/2021,286.26001,287.179993,284.410004,285.149994,282.772552,2047500
50,ACN,4/16/2021,285.160004,287.459991,285.01001,286.959991,284.567444,2625500
51,ACN,4/19/2021,287.100006,287.230011,284.910004,286.540009,284.15097,1437100
52,ACN,4/20/2021,285.929993,288.899994,285.76001,288.600006,286.193787,1889800
