,symbol,Date,Open,High,Low,close,Adj close,Volume,divCash,splitFactor
0,AAPL,2/3/2021,248.190002,250.110001,246.589996,248.369995,245.539291,2470400,0,1
1,AAPL,2/4/2021,249.559998,253.029999,246.910004,253.009995,250.126404,1702200,0,1
2,AAPL,2/5/2021,254.089996,255.75,252.160004,253.539993,250.650345,1497700,0,1
3,AAPL,2/8/2021,253.919998,257.350006,253.759995,257.309998,254.377396,1508700,0,1
4,AAPL,2/9/2021,256.309998,258.809998,255.610001,257.679993,254.743179,1542600,0,1
5,AAPL,2/10/2021,258.019989,259.190002,255.860001,256.940002,254.011612,1428300,0,1
6,AAPL,2/11/2021,258,259.98999,257.040009,258.970001,256.018463,1285300,0,1
7,AAPL,2/12/2021,257.450012,258.589996,255.410004,257.470001,254.535583,1219200,0,1
8,AAPL,2/16/2021,257.649994,259.48999,256.269989,257.049988,254.120331,1606700,0,1
9,AAPL,2/17/2021,256.649994,261.609985,255.770004,258.779999,255.830643,1881000,0,1
10,AAPL,2/18/2021,255.589996,258.100006,254.699997,257.630005,254.693756,1664300,0,1
11,AAPL,2/19/2021,258.459991,258.5,254.160004,254.289993,251.391815,2038400,0,1
12,AAPL,2/22/2021,252.690002,254.169998,250.089996,252.630005,249.750748,1476000,0,1
13,AAPL,2/23/2021,251.559998,257.929993,250.589996,256.190002,253.270172,2191300,0,1
14,AAPL,2/24/2021,253.210007,260.470001,252.820007,259.269989,256.315063,2476300,0,1
15,AAPL,2/25/2021,258.980011,259.109985,252.580002,253.779999,250.887634,2157700,0,1
16,AAPL,2/26/2021,255.240005,255.850006,249.809998,250.899994,248.040451,2712800,0,1
17,AAPL,3/1/2021,254,259.799988,254,258.160004,255.217712,1954700,0,1
18,AAPL,3/2/2021,258.160004,261.119995,257.109985,259.230011,256.275513,2099800,0,1
19,AAPL,3/3/2021,259.899994,260,254.050003,254.179993,251.283051,2114400,0,1
20,AAPL,3/4/2021,252.830002,254.639999,245.169998,247,244.184906,2590400,0,1
21,AAPL,3/5/2021,249.240005,250.679993,244.440002,249.509995,246.666275,3236500,0,1
22,AAPL,3/8/2021,254.600006,255.789993,249.229996,249.389999,246.547668,2856100,0,1
23,AAPL,3/9/2021,252.520004,257.459991,251.639999,254.369995,251.470901,2729200,0,1
24,AAPL,3/10/2021,256.290009,258.23999,254.610001,257.140015,254.209351,2046000,0,1
25,AAPL,3/11/2021,260,268.109985,260,266.369995,263.334137,2972000,0,1
26,AAPL,3/12/2021,264.980011,266.25,262.700012,264.950012,261.930328,1828600,0,1
27,AAPL,3/15/2021,263.690002,266.589996,263.480011,266.26001,263.225433,2295700,0,1
28,AAPL,3/16/2021,267.220001,267.26001,263.100006,263.519989,260.516602,2185600,0,1
29,AAPL,3/17/2021,263.529999,266.279999,261.630005,264.269989,261.258026,2626500,0,1
30,AAPL,3/18/2021,267.220001,271.51001,264.079987,266.890015,263.848267,4089900,0,1
